TimeGenerated,EventSource,DeviceRef,DeviceId,Severity,EventDetail
2026-07-04T09:12:00Z,IT,DC01,AST-001,Critical,LSASS memory dump detected via mimikatz-style access on domain controller
2026-07-04T09:40:00Z,IT,WEB-PROD-01,AST-007,Critical,Exploit attempt against public-facing app matching CVE-2024-21412 zerologon-style bypass
2026-07-04T10:05:00Z,IT,WKS-JSMITH,AST-004,High,User clicked malicious link in phishing email with credential harvest page
2026-07-04T11:00:00Z,IT,VPN-GW-01,AST-006,High,Multiple auth failures then successful gateway authentication suspected password spray
2026-07-04T13:10:00Z,IT,FIN-SVR-02,AST-003,High,RDP session opened to finance server from external remote gateway
2026-07-04T15:00:00Z,IT,WKS-JSMITH,AST-004,Medium,Scheduled task created for persistence cron-like execution pattern observed
2026-07-04T16:45:00Z,IT,WKS-JSMITH,AST-004,High,Process masquerading as svch0st.exe detected on workstation
2026-07-05T03:15:00Z,IT,FIN-SVR-02,AST-003,High,Encoded PowerShell command executed with -enc parameter on finance server
2026-07-05T08:20:00Z,OT,plc-reactor-01,AST-002,Critical,Unauthorized file transfer to engineering workstation adjacent to OT PLC segment matching ICS lateral tool transfer pattern
2026-07-05T08:45:00Z,OT,hmi-scada-02,AST-005,Critical,Internet-accessible SCADA HMI discovered exposed to public internet flagged via Shodan scan
2026-07-05T09:10:00Z,OT,eng-ws-07,AST-008,High,SSH session established from eng-ws-07 to plant historian on port 22
2026-07-05T09:40:00Z,OT,plc-reactor-01,AST-002,Critical,Audit logging disabled and event log tampering detected on reactor control system
2026-07-05T10:05:00Z,IT,DC01,AST-001,High,Kerberoasting activity detected abnormal TGS service ticket requests against domain controller
2026-07-05T10:30:00Z,OT,unknown-iot-042,,High,Removable USB media inserted on unmanaged device with unknown provenance
2026-07-05T11:00:00Z,IT,WEB-PROD-01,AST-007,Medium,WMI remote execution observed connecting from internal management host
2026-07-05T11:30:00Z,IT,VPN-GW-01,AST-006,Low,Network sniffing tool detected running in promiscuous mode on gateway interface
2026-07-23T09:12:04Z,IT,WKS-042,DID-4471,High,Suspicious PowerShell execution with base64 encoded command detected on host
2026-07-23T09:14:22Z,IT,WKS-042,DID-4471,Critical,Outbound connection to known C2 beaconing infrastructure from host
2026-07-23T09:41:07Z,IT,SRV-DC01,DID-1002,Critical,Multiple failed logon attempts followed by successful authentication - possible brute force
2026-07-23T10:03:55Z,OT,PLC-118,DID-8830,Medium,Unexpected configuration change written to controller outside maintenance window
2026-07-23T10:15:31Z,IT,WKS-077,DID-4502,Low,Routine software update check completed successfully
2026-07-23T11:02:18Z,IT,SRV-FS02,DID-1090,High,Ransomware-pattern file encryption activity detected across shared drive
2026-07-20T08:00:17Z,IT,WEB-PROD-01,AST-007,Low,Network flow alert (BENIGN) dest_port=54865 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:00:34Z,IT,VPN-GW-01,AST-006,Low,Network flow alert (BENIGN) dest_port=55054 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:00:51Z,IT,WEB-PROD-01,AST-007,Low,Network flow alert (BENIGN) dest_port=55055 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:01:08Z,IT,VPN-GW-01,AST-006,Low,Network flow alert (BENIGN) dest_port=46236 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:01:25Z,IT,DC01,AST-001,Low,Network flow alert (BENIGN) dest_port=54863 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:01:42Z,IT,WKS-JSMITH,AST-004,Low,Network flow alert (BENIGN) dest_port=54871 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:01:59Z,IT,FIN-SVR-02,AST-003,Low,Network flow alert (BENIGN) dest_port=54925 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:02:16Z,IT,WKS-JSMITH,AST-004,Low,Network flow alert (BENIGN) dest_port=54925 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:02:33Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:02:50Z,IT,DC01,AST-001,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:03:07Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:03:24Z,IT,FIN-SVR-02,AST-003,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:03:41Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:03:58Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:04:15Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:04:32Z,IT,FIN-SVR-02,AST-003,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:04:49Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:05:06Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:05:23Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:05:40Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:05:57Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:06:14Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:06:31Z,IT,FIN-SVR-02,AST-003,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:06:48Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:07:05Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:07:22Z,OT,plc-reactor-01,AST-002,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:07:39Z,IT,DC01,AST-001,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:07:56Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:08:13Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:08:30Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
